"Hotel Name","Hotel ID"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"DoubleTree by Hilton Hotel","1785565"
"Raffles Makkah Palace","1483121"
"Elizabeth Unique Hotel - A Member of Design Hotels","33310871"
"Cloud City Hotel","1956273"
"Swissôtel Al Murooj Dubai","90001468"
"Hilton Cincinnati Netherland Plaza","1058979"
"Hilton Garden Inn Toronto/Brampton","3454546"
"LaGuardia Plaza Hotel","2547229"
"LaGuardia Plaza Hotel","2547229"
"La Suite Dubai Hotel & Apartments","1274160"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"Makarem Ajyad Makkah Hotel","1800079"
"Pullman Zamzam Madina","59432551"
"DoubleTree Suites by Hilton Hotel Philadelphia West","1687875"
"LaGuardia Plaza Hotel","2547229"
"Sheraton Grand Hotel, Dubai","89963369"
"AWFAD Hotel","88029744"
"Hotel Flamenco Cairo","1532609"
"W Amman","43047915"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"NH Collection Colombo","51935770"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"The Venue Jeddah Corniche","4387800"
"Raffles Makkah Palace","1483121"
"Hilton Garden Inn Nashville Downtown/Convention Center","15079758"
"Hampton Inn Nashville/Vanderbilt","1508367"
"Baron Hotel Cairo","1849203"
"Hilton Quebec","1023083"
"Barceló Residences Dubai Marina","51302635"
"DoubleTree by Hilton Orlando Downtown","2194137"
"Hilton Quebec","1023083"
"DoubleTree by Hilton Chicago O’Hare Airport – Rosemont","1155673"
"DoubleTree Resort by Hilton Hollywood Beach","1631922"
"Hilton Boston Logan Airport","1520097"
"Hilton Quebec","1023083"
"Hilton Quebec","1023083"
"Marsa Malaz Kempinski, The Pearl - Doha","41100567"
"Hilton Denver City Center","2889861"
"Hilton Quebec","1023083"
"Embassy Suites by Hilton Atlanta at Centennial Olympic Park","2168216"
"Pullman Zamzam Madina","59432551"
"Hampton Inn & Suites Tampa/Ybor City/Downtown","1435647"
"Rove Downtown Dubai","1897370"
"DoubleTree by Hilton Montreal","1343914"
"voco Dubai","2225317"
"Embassy Suites by Hilton Portland Downtown","1637090"
"Hilton Meadowlands","2815707"
"DoubleTree Resort by Hilton Hollywood Beach","1631922"
"Hilton Garden Inn Bethesda Downtown","2241215"
"DoubleTree by Hilton Weerawila Rajawarna Resort","95348534"
"Fairmont Dubai","1261096"
"Fairmont Dubai","1261096"
"Highline Vail - a DoubleTree by Hilton","2001422"
"ibis Styles Dubai Airport Hotel","21724521"
"Cinnamon Bey Beruwala","1658203"
"Hampton Inn & Suites Vanderbilt Elliston Place","1417496"
"Makarem Ajyad Makkah Hotel","1800079"
"LaGuardia Plaza Hotel","2547229"
"ibis Styles Dubai Airport Hotel","21724521"
"Makarem Umm Al Qura Hotel","1520441"
"Hilton Phoenix Resort at the Peak","1102750"
"Hilton Garden Inn Bethesda Downtown","2241215"
"SIRO One Za'abeel","85454847"
"ibis Styles Dubai Airport Hotel","21724521"
"Grand Mercure Dubai City","38970443"
"Grand Mercure Dubai City","38970443"
"Grand Mercure Dubai City","38970443"
"Grand Mercure Dubai City","38970443"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Grand Mercure Dubai City","38970443"
"Grand Mercure Dubai City","38970443"
